geoid,name,total_households,total_with_computer,dialup_internet,broadband_internet,computer_no_internet,total_no_computer,state,state legislative district (upper chamber),total_with_internet,total_no_internet
05013,"State Senate District 13 (2016), Arkansas",31932.0,26528.0,389.0,21356.0,4783.0,5404.0,05,013,21745.0,10187.0
05014,"State Senate District 14 (2016), Arkansas",35302.0,29973.0,313.0,25808.0,3852.0,5329.0,05,014,26121.0,9181.0
05015,"State Senate District 15 (2016), Arkansas",32056.0,26601.0,355.0,21431.0,4815.0,5455.0,05,015,21786.0,10270.0
05016,"State Senate District 16 (2016), Arkansas",31520.0,25451.0,372.0,20572.0,4507.0,6069.0,05,016,20944.0,10576.0
05017,"State Senate District 17 (2016), Arkansas",35175.0,28847.0,411.0,24869.0,3567.0,6328.0,05,017,25280.0,9895.0
05018,"State Senate District 18 (2016), Arkansas",33765.0,26160.0,370.0,20811.0,4979.0,7605.0,05,018,21181.0,12584.0
05019,"State Senate District 19 (2016), Arkansas",33242.0,26241.0,416.0,19822.0,6003.0,7001.0,05,019,20238.0,13004.0
05020,"State Senate District 20 (2016), Arkansas",34598.0,27765.0,137.0,22993.0,4635.0,6833.0,05,020,23130.0,11468.0
05021,"State Senate District 21 (2016), Arkansas",34837.0,30674.0,66.0,27123.0,3485.0,4163.0,05,021,27189.0,7648.0
05022,"State Senate District 22 (2016), Arkansas",29962.0,23329.0,124.0,18601.0,4604.0,6633.0,05,022,18725.0,11237.0
05023,"State Senate District 23 (2016), Arkansas",29358.0,21047.0,154.0,16456.0,4437.0,8311.0,05,023,16610.0,12748.0
05024,"State Senate District 24 (2016), Arkansas",31359.0,23185.0,154.0,18708.0,4323.0,8174.0,05,024,18862.0,12497.0
05025,"State Senate District 25 (2016), Arkansas",27326.0,20936.0,197.0,13858.0,6881.0,6390.0,05,025,14055.0,13271.0
05026,"State Senate District 26 (2016), Arkansas",31427.0,23424.0,250.0,17887.0,5287.0,8003.0,05,026,18137.0,13290.0
05027,"State Senate District 27 (2016), Arkansas",31959.0,23341.0,259.0,18416.0,4666.0,8618.0,05,027,18675.0,13284.0
05028,"State Senate District 28 (2016), Arkansas",33091.0,26568.0,221.0,20824.0,5523.0,6523.0,05,028,21045.0,12046.0
05029,"State Senate District 29 (2016), Arkansas",31752.0,27702.0,238.0,24284.0,3180.0,4050.0,05,029,24522.0,7230.0
05030,"State Senate District 30 (2016), Arkansas",30487.0,23256.0,151.0,16966.0,6139.0,7231.0,05,030,17117.0,13370.0
05031,"State Senate District 31 (2016), Arkansas",31679.0,24981.0,316.0,21222.0,3443.0,6698.0,05,031,21538.0,10141.0
05032,"State Senate District 32 (2016), Arkansas",37551.0,34348.0,119.0,30689.0,3540.0,3203.0,05,032,30808.0,6743.0
05033,"State Senate District 33 (2016), Arkansas",35267.0,31429.0,155.0,28098.0,3176.0,3838.0,05,033,28253.0,7014.0
05034,"State Senate District 34 (2016), Arkansas",34581.0,29592.0,81.0,26297.0,3214.0,4989.0,05,034,26378.0,8203.0
05035,"State Senate District 35 (2016), Arkansas",32500.0,28761.0,231.0,24695.0,3835.0,3739.0,05,035,24926.0,7574.0
05001,"State Senate District 1 (2016), Arkansas",37075.0,34620.0,92.0,23218.0,11310.0,2455.0,05,001,23310.0,13765.0
05002,"State Senate District 2 (2016), Arkansas",33900.0,29960.0,205.0,22274.0,7481.0,3940.0,05,002,22479.0,11421.0
05003,"State Senate District 3 (2016), Arkansas",31427.0,27522.0,120.0,16994.0,10408.0,3905.0,05,003,17114.0,14313.0
05004,"State Senate District 4 (2016), Arkansas",38036.0,35297.0,210.0,30509.0,4578.0,2739.0,05,004,30719.0,7317.0
05005,"State Senate District 5 (2016), Arkansas",32533.0,26010.0,591.0,20615.0,4804.0,6523.0,05,005,21206.0,11327.0
05006,"State Senate District 6 (2016), Arkansas",30796.0,23109.0,308.0,18350.0,4451.0,7687.0,05,006,18658.0,12138.0
05007,"State Senate District 7 (2016), Arkansas",31946.0,27998.0,144.0,22280.0,5574.0,3948.0,05,007,22424.0,9522.0
05008,"State Senate District 8 (2016), Arkansas",34128.0,28094.0,100.0,24156.0,3838.0,6034.0,05,008,24256.0,9872.0
05009,"State Senate District 9 (2016), Arkansas",31557.0,24820.0,133.0,20064.0,4623.0,6737.0,05,009,20197.0,11360.0
05010,"State Senate District 10 (2016), Arkansas",31459.0,23774.0,366.0,18566.0,4842.0,7685.0,05,010,18932.0,12527.0
05011,"State Senate District 11 (2016), Arkansas",31696.0,24986.0,408.0,20586.0,3992.0,6710.0,05,011,20994.0,10702.0
05012,"State Senate District 12 (2016), Arkansas",32012.0,23771.0,296.0,18568.0,4907.0,8241.0,05,012,18864.0,13148.0
